project_name,project_url,Aggregate,Binary-Artifacts,Branch-Protection,CI-Tests,CII-Best-Practices,Code-Review,Contributors,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
kiorky/soappy,https://github.com/kiorky/soappy,2.9,10,0,0,0,1,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,10
kludex/python-multipart,https://github.com/kludex/python-multipart,6.4,10,3,10,0,4,10,10,10,10,9,10,10,0,0,0,-1,0,10
knugihk/whatsapp-chat-exporter,https://github.com/knugihk/whatsapp-chat-exporter,4.8,10,0,-1,0,0,6,10,0,0,10,10,10,0,0,0,0,10,10
koji-project/koji,https://github.com/koji-project/koji,2.7,0,0,-1,0,0,10,-1,0,0,9,10,-1,0,0,0,-1,-1,10
kozea/cairosvg,https://github.com/kozea/cairosvg,3.8,10,0,7,0,1,10,10,0,0,10,4,-1,0,0,0,-1,0,10
kozea/radicale,https://github.com/kozea/radicale,4.7,10,0,10,0,1,10,10,0,0,10,10,10,0,0,0,-1,0,10
kozea/weasyprint,https://github.com/kozea/weasyprint,4.1,10,0,10,0,1,10,10,0,0,10,10,-1,0,0,0,0,0,10
krateng/maloja,https://github.com/krateng/maloja,3.2,10,0,0,0,0,10,10,0,0,10,0,10,5,0,0,-1,0,2
kurtmckee/feedparser,https://github.com/kurtmckee/feedparser,5.8,10,3,10,0,2,10,10,10,0,9,10,-1,5,0,0,-1,0,10
latchset/kdcproxy,https://github.com/latchset/kdcproxy,3.7,10,3,0,0,5,10,10,0,0,10,0,-1,0,0,0,1,0,10
legrandin/pycrypto,https://github.com/legrandin/pycrypto,2.8,10,0,-1,0,0,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,9
legrandin/pycryptodome,https://github.com/legrandin/pycryptodome,5.6,10,0,10,0,0,10,10,0,10,9,10,-1,0,10,0,8,0,10
lenovo/antilles,https://github.com/lenovo/antilles,1.5,10,0,0,0,1,3,-1,0,0,10,0,-1,-1,0,0,0,-1,0
leo-editor/leo-editor,https://github.com/leo-editor/leo-editor,5,9,7,0,0,4,10,-1,0,0,9,10,-1,-1,0,0,-1,-1,10
lepture/mistune,https://github.com/lepture/mistune,4.3,10,0,5,0,3,10,10,0,0,10,5,10,0,0,0,-1,0,10
lief-project/lief,https://github.com/lief-project/lief,4,7,0,0,0,0,10,10,0,10,10,10,-1,0,0,0,0,0,10
liftoff/gateone,https://github.com/liftoff/gateone,2.7,10,0,0,0,1,10,-1,0,0,9,0,-1,0,0,0,-1,-1,10
lingthio/flask-user,https://github.com/lingthio/flask-user,2.2,10,0,0,0,2,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,2
linotp/linotp,https://github.com/linotp/linotp,2.4,7,0,-1,0,0,10,-1,0,0,10,10,-1,0,0,0,-1,-1,0
linuxmint/aptdaemon,https://github.com/linuxmint/aptdaemon,1.7,0,0,-1,0,0,6,-1,0,0,10,0,-1,-1,0,0,-1,-1,10
localstack/localstack,https://github.com/localstack/localstack,6.1,9,3,10,0,10,10,10,10,0,9,10,10,1,0,0,-1,0,7
mage-ai/mage-ai,https://github.com/mage-ai/mage-ai,4.7,8,0,9,0,7,10,10,0,0,10,10,10,0,9,0,-1,0,0
mapproxy/mapproxy,https://github.com/mapproxy/mapproxy,5.5,10,0,3,0,9,10,10,10,0,10,10,10,0,0,0,0,0,10
mardiros/pyshop,https://github.com/mardiros/pyshop,2.7,10,0,0,0,0,10,-1,0,0,10,0,-1,0,0,0,-1,-1,10
martinpitt/python-dbusmock,https://github.com/martinpitt/python-dbusmock,4.9,10,3,10,0,5,10,10,0,0,10,10,10,1,0,0,0,0,10
matthiask/html-sanitizer,https://github.com/matthiask/html-sanitizer,3.5,10,0,7,0,1,10,10,0,0,10,0,-1,0,0,0,-1,0,10
mchehab/zbar,https://github.com/mchehab/zbar,3,10,0,0,0,0,10,10,0,0,10,0,-1,0,0,0,0,0,10
mechanicalsoup/mechanicalsoup,https://github.com/mechanicalsoup/mechanicalsoup,4.6,10,3,6,0,2,10,10,10,0,10,0,-1,0,8,0,-1,0,4
meraki/dashboard-api-python,https://github.com/meraki/dashboard-api-python,5.5,10,1,8,0,0,3,10,10,0,10,10,10,0,7,0,-1,0,9
